Ac Delete Bksp,BackSpace,⌫,Anim Curve Editor,
Ac Path Display,CTRL+W,⌃W,Anim Curve Editor,
Ace Cancel,Escape,⎋,Anim Curve Editor,
Add Curve,CTRL+A,⌘A,Anim Curve Editor,
Set Range,CTRL+R,⌘R,Anim Curve Editor,
Ab Arrange Bottom,CTRL+SHIFT+Left Bracket,⌃⇧Left Bracket,Asset Browser,
Ab Arrange Down,CTRL+Left Bracket,⌃Left Bracket,Asset Browser,
Ab Arrange Top,CTRL+SHIFT+Right Bracket,⌃⇧Right Bracket,Asset Browser,
Ab Arrange Up,CTRL+Right Bracket,⌃Right Bracket,Asset Browser,
Block,1,1,Context Menu,
Breakpoint Menu Toggle,F9,F9,Context Menu,
Code Window Menu Help,F1,F1,Context Menu,
Do-Until Loop,7,7,Context Menu,
Edit Menu Search,CTRL+SHIFT+F,⌘⇧F,Context Menu,
Exit,,⌘Q,Context Menu,
File Menu Preferences,,⌘⇧P,Context Menu,
For Loop,4,4,Context Menu,
For Loop (i..n),5,5,Context Menu,
GML Visual Pan To,CTRL+P,⌃P,Context Menu,
If,2,2,Context Menu,
If-Else,3,3,Context Menu,
Insert,Insert,,Context Menu,
Line Comment,C,C,Context Menu,
Multi-line Comment,M,M,Context Menu,
Region,R,R,Context Menu,
Repeat,8,8,Context Menu,
Run Menu Clean,,⌘F7,Context Menu,
Run Menu Create Executable,,⌘F8,Context Menu,
Spline Editor Delete Points,Del,Del,Context Menu,
Switch,9,9,Context Menu,
Text Editor Comment Selection,,⌘K,Context Menu,
Text Editor Next Region,,⌘⌥Down,Context Menu,
Text Editor Previous Region,,⌘⌥Up,Context Menu,
Text Editor Toggle Fold,,⌘Enter,Context Menu,
Text Editor Uncomment Selection,,⌘⇧K,Context Menu,
While Loop,6,6,Context Menu,
With,0,0,Context Menu,
Compileerror Copy Win,CTRL+Insert,⌃Insert,Errors,
Compileerror Selectall,CTRL+SHIFT+A,⌃⇧A,Errors,
Syntaxerror Copy Win,CTRL+Insert,⌃Insert,Errors,
Syntaxerror Selectall,CTRL+SHIFT+A,⌃⇧A,Errors,
Add New Range,,⌘A,Font Editor,
Deleted Selected Range,,⌘D,Font Editor,
Open Options,,⌘⇧O,Font Editor,
Regenerate Font Texture,,⌘R,Font Editor,
Add To Selection,CTRL,⌘,Global,
Cancel,Escape,⎋,Global,
Clean,CTRL+F7,⌘F7,Global,
Close Tab,CTRL+W,⌘W,Global,
Confirm Create Asset,CTRL+C,⌘C,Global,
Copy,CTRL+C,⌘C,Global,
Create Animation Curve,ALT+J,⌥J,Global,
Create Asset,CTRL+A,⌘A,Global,
Create Executable,CTRL+F8,⌘F8,Global,
Create Extension,ALT+E,⌥E,Global,
Create Font,ALT+F,⌥F,Global,
Create Note,ALT+N,⌥N,Global,
Create Object,ALT+O,⌥O,Global,
Create Path,ALT+P,⌥P,Global,
Create Resource GMIncluded File,ALT+I,⌥I,Global,
Create Room,ALT+R,⌥R,Global,
Create Script,ALT+C,⌥C,Global,
Create Sequence,ALT+G,⌥G,Global,
Create Shader,ALT+A,⌥A,Global,
Create Sound,ALT+U,⌥U,Global,
Create Sprite,ALT+S,⌥S,Global,
Create Tile Set,ALT+B,⌥B,Global,
Create Timeline,ALT+T,⌥T,Global,
Cut,CTRL+X,⌘X,Global,
Debug,F6,F6,Global,
Debugger Continue,F5,F5,Global,
Debugger Step Into,F11,⌘⇧I,Global,
Debugger Step Out,SHIFT+F11,⌘⇧U,Global,
Debugger Step Over,F10,⌘⇧O,Global,
Decrement Text Size,F7,F7,Global,
Delete,Delete,⌫,Global,
Doc Window Next Tab,CTRL+PageUp,⌘PageUp,Global,
Doc Window Prev Tab,CTRL+PageDown,⌘PageDown,Global,
Dope Sheet Panel Scroll Command,SHIFT,⇧,Global,
Duplicate,CTRL+D,⌘D,Global,
Edit Image,CTRL+SHIFT+E,⌘⇧E,Global,
Edit Sprite,CTRL+SHIFT+E,⌘⇧E,Global,
Enumerate References,F3,F3,Global,
Export Project,CTRL+E,⌘E,Global,
Feather Open Quickfix Menu,CTRL+Q,⌃Q,Global,
